"track_name","artist_name","artist_count","released_year","released_month","released_day","in_spotify_charts","streams","in_apple_charts","bpm","mode","danceability_pct","valence_pct","energy_pct","acousticness_pct","instrumentalness_pct","liveness_pct","speechiness_pct"
"Seven (feat. Latto) (Explicit Ver.)","Latto, Jung Kook",2,2023,7,14,"147","141381703","263",125,"Major",80,89,83,31,0,8,4
"LALA","Myke Towers",1,2023,3,23,"48","133716286","126",92,"Major",71,61,74,7,0,10,4
"vampire","Olivia Rodrigo",1,2023,6,30,"113","140003974","207",138,"Major",51,32,53,17,0,31,6
"Cruel Summer","Taylor Swift",1,2019,8,23,"100","800840817","207",170,"Major",55,58,72,11,0,11,15
"WHERE SHE GOES","Bad Bunny",1,2023,5,18,"50","303236322","133",144,"Minor",65,23,80,14,63,11,6
"Sprinter","Dave, Central Cee",2,2023,6,1,"91","183706234","213",141,"Major",92,66,58,19,0,8,24
"Ella Baila Sola","Eslabon Armado, Peso Pluma",2,2023,3,16,"50","725980112","222",148,"Minor",67,83,76,48,0,8,3
"Columbia","Quevedo",1,2023,7,7,"43","58149378","89",100,"Major",67,26,71,37,0,11,4
"fukumean","Gunna",1,2023,5,15,"83","95217315","210",130,"Minor",85,22,62,12,0,28,9
"La Bebe - Remix","Peso Pluma, Yng Lvcas",2,2023,3,17,"44","553634067","110",170,"Minor",81,56,48,21,0,8,33
"un x100to","Bad Bunny, Grupo Frontera",2,2023,4,17,"40","505671438","205",83,"Minor",57,56,72,23,0,27,5
"Super Shy","NewJeans",1,2023,7,7,"55","58255150","202",150,"Minor",78,52,82,18,0,15,7
"Flowers","Miley Cyrus",1,2023,1,12,"115","1316855716","215",118,"Major",71,65,68,6,0,3,7
"Daylight","David Kushner",1,2023,4,14,"98","387570742","156",130,"Minor",51,32,43,83,0,9,3
"As It Was","Harry Styles",1,2022,3,31,"130","2513188493","198",174,"Minor",52,66,73,34,0,31,6
"Kill Bill","SZA",1,2022,12,8,"77","1163093654","162",89,"Major",64,43,73,5,17,16,4
"Cupid - Twin Ver.","Fifty Fifty",1,2023,2,24,"77","496795686","212",120,"Minor",78,76,59,43,0,34,3
"What Was I Made For? [From The Motion Picture Barbie]","Billie Eilish",1,2023,7,13,"104","30546883","227",78,"Major",44,14,9,96,0,10,3
"Classy 101","Feid, Young Miko",2,2023,3,31,"40","335222234","100",100,"Major",86,67,66,14,0,12,16
"Like Crazy","Jimin",1,2023,3,24,"68","363369738","104",120,"Major",63,36,73,0,0,36,4
"LADY GAGA","Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,"26","86444842","163",140,"Minor",65,87,74,22,0,42,4
"I Can See You (TaylorяПНяПНяПНs Version) (From The ","Taylor Swift",1,2023,7,7,"38","52135248","119",123,"Major",69,82,76,6,0,6,3
"I Wanna Be Yours","Arctic Monkeys",1,2013,1,1,"110","1297026226","98",135,"Minor",48,44,42,12,2,11,3
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,"40","200647221","152",133,"Minor",85,81,67,26,0,12,5
"Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series)","The Weeknd, Madonna, Playboi Carti",3,2023,6,2,"87","115364561","182",99,"Major",85,83,68,7,0,36,20
"SABOR FRESA","Fuerza Regida",1,2023,6,22,"26","78300654","149",130,"Minor",79,96,86,9,0,9,9
"Calm Down (with Selena Gomez)","RяПНяПНma, Selena G",2,2022,3,25,"77","899183384","119",107,"Major",80,82,80,43,0,14,4
"MOJABI GHOST","Tainy, Bad Bunny",2,2023,6,29,"40","61245289","109",122,"Minor",81,74,71,14,0,56,4
"Last Night","Morgan Wallen",1,2023,1,31,"19","429829812","107",204,"Major",52,52,68,46,0,15,4
"Dance The Night (From Barbie The Album)","Dua Lipa",1,2023,5,25,"101","127408954","0",110,"Minor",67,78,85,2,0,33,5
"Rush","Troye Sivan",1,2023,7,13,"78","22581161","135",126,"Minor",74,35,84,0,0,11,6
"TULUM","Peso Pluma, Grupo Frontera",2,2023,6,28,"34","52294266","185",168,"Major",56,63,87,39,0,11,5
"Creepin'","The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,"88","843957510","149",98,"Minor",71,17,61,36,0,8,5
"Anti-Hero","Taylor Swift",1,2022,10,21,"56","999748277","142",97,"Major",64,51,63,12,0,19,5
"TQG","Karol G, Shakira",2,2023,2,23,"49","618990393","123",180,"Minor",72,61,63,67,0,9,28
"Los del Espacio","Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,"31","123122413","33",120,"Major",81,63,68,11,0,11,4
"FrяПНяПНgil (feat. Grupo Front","Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,"34","188933502","108",150,"Major",61,39,73,37,0,11,3
"Blank Space","Taylor Swift",1,2014,1,1,"53","1355959075","123",96,"Major",75,57,68,9,0,13,6
"Style","Taylor Swift",1,2014,1,1,"42","786181836","111",95,"Major",60,48,79,0,0,12,4
"TQM","Fuerza Regida",1,2023,5,19,"28","176553476","159",125,"Minor",79,96,85,27,0,11,6
"El Azul","Junior H, Peso Pluma",2,2023,2,10,"25","354495408","107",144,"Minor",56,84,65,23,0,10,6
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone, Swae Lee",2,2018,10,9,"78","2808096550","117",90,"Major",76,91,50,54,0,7,5
"I'm Good (Blue)","Bebe Rexha, David Guetta",2,2022,8,26,"80","1109433169","184",128,"Minor",56,38,97,4,0,35,4
"See You Again","Tyler, The Creator, Kali Uchis",3,2017,7,21,"64","1047101291","58",79,"Major",56,58,56,37,0,11,10
"Barbie World (with Aqua) [From Barbie The Album]","Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,"80","65156199","145",144,"Major",77,75,58,52,0,23,25
"Angels Like You","Miley Cyrus",1,2020,11,27,"19","570515054","48",122,"Major",67,49,64,10,0,10,3
"I Ain't Worried","OneRepublic",1,2022,5,13,"76","1085685420","127",140,"Major",71,82,81,11,0,6,5
"Die For You","The Weeknd",1,2016,11,24,"59","1647990401","21",134,"Minor",59,51,52,9,0,15,7
"Starboy","The Weeknd, Daft Punk",2,2016,9,21,"79","2565529693","137",186,"Major",68,49,59,16,0,13,28
"Die For You - Remix","Ariana Grande, The Weeknd",2,2023,2,24,"47","518745108","86",67,"Minor",53,50,53,23,0,44,7
"El Cielo","Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,"38","107753850","64",106,"Minor",72,17,64,7,0,10,5
"Baby Don't Hurt Me","David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,"66","177740666","111",128,"Major",60,23,91,0,0,12,3
"AMARGURA","Karol G",1,2023,2,24,"39","153372011","71",107,"Minor",92,55,70,18,0,15,7
"(It Goes Like) Nanana - Edit","Peggy Gou",1,2023,6,15,"59","57876440","0",130,"Minor",67,96,88,12,19,8,4
"Another Love","Tom Odell",1,2012,10,15,"83","1813673666","122",123,"Minor",45,13,54,70,0,9,4
"Blinding Lights","The Weeknd",1,2019,11,29,"69","3703895074","199",171,"Major",50,38,80,0,0,9,7
"Moonlight","Kali Uchis",1,2023,2,24,"42","256483385","79",137,"Minor",64,88,72,51,0,17,5
"La Bachata","Manuel Turizo",1,2022,5,26,"45","1214083358","111",125,"Minor",84,85,68,58,0,22,4
"S91","Karol G",1,2023,7,14,"41","16011326","115",128,"Minor",86,42,72,59,0,9,19
"cardigan","Taylor Swift",1,2020,7,24,"29","812019557","112",130,"Minor",61,53,58,55,0,27,4
"TяПНяПН","dennis, MC Kevin o Chris",2,2023,5,4,"15","111947664","17",130,"Major",86,59,96,50,1,9,5
"Boy's a liar Pt. 2","PinkPantheress, Ice Spice",2,2023,2,3,"41","156338624","84",133,"Major",70,86,81,25,0,25,5
"Left and Right (Feat. Jung Kook of BTS)","Charlie Puth, BTS, Jung Kook",3,2022,6,24,"39","720434240","0",101,"Major",88,72,59,62,0,9,3
"BESO","Rauw Alejandro, ROSALяПН",2,2023,3,24,"50","357925728","121",95,"Minor",77,53,64,74,0,17,14
"Hey Mor","Ozuna, Feid",2,2022,10,6,"38","674072710","79",98,"Minor",90,40,59,0,0,10,29
"Yellow","Chris Molitor",1,1999,1,1,"43","1755214421","2",173,"Major",43,28,66,0,0,23,3
"Karma","Taylor Swift",1,2022,10,21,"23","404562836","55",90,"Major",64,10,62,7,0,48,7
"People","Libianca",1,2022,12,2,"56","373199958","64",198,"Minor",59,71,42,55,0,10,7
"Overdrive","Post Malone",1,2023,7,14,"36","14780425","32",140,"Major",56,48,73,0,0,35,4
"Enchanted (Taylor's Version)","Taylor Swift",1,2023,7,7,"24","39578178","93",82,"Major",51,22,53,1,0,15,3
"BABY HELLO","Rauw Alejandro, Bizarrap",2,2023,6,23,"35","54266102","80",130,"Minor",77,84,89,17,0,43,5
"Heat Waves","Glass Animals",1,2020,6,28,"63","2557975762","144",81,"Major",76,53,53,44,0,9,9
"golden hour","JVKE",1,2022,7,15,"36","751134527","58",94,"Minor",51,14,59,65,18,25,3
"Sweater Weather","The Neighbourhood",1,2012,5,14,"61","2282771485","87",124,"Major",61,41,81,5,2,10,3
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,"45","1356565093","65",128,"Major",62,55,78,1,3,23,4
"Viva La Vida","Coldplay",1,2008,1,1,"62","1592909789","0",138,"Minor",49,42,62,9,0,11,3
"Here With Me","d4vd",1,2022,7,17,"23","635412045","85",132,"Major",58,27,48,50,0,12,3
"Unholy (feat. Kim Petras)","Sam Smith, Kim Petras",2,2022,9,22,"42","1230675890","108",131,"Major",71,24,47,1,0,27,9
"Yandel 150","Yandel, Feid",2,2022,12,20,"38","585695368","74",168,"Minor",78,58,73,5,0,10,7
"CORAZяПНяПНN VA","Maria Becerra",1,2023,6,22,"20","43857627","16",98,"Major",68,40,79,33,0,30,6
"Riptide","Vance Joy",1,1975,1,1,"55","2009094673","65",102,"Major",48,50,73,43,0,15,4
"Until I Found You (with Em Beihold) - Em Beihold Version","Em Beihold, Stephen Sanchez",2,2022,4,22,"30","600976848","96",101,"Major",34,32,57,78,0,20,3
"Novidade na яПНяПН","Mc Livinho, DJ Matt D",2,2023,6,23,"9","39709092","6",130,"Major",63,36,34,76,0,35,9
"Back To December (Taylor's Version)","Taylor Swift",1,2023,7,7,"17","39228929","72",142,"Major",50,20,64,1,0,12,3
"STAY (with Justin Bieber)","Justin Bieber, The Kid Laroi",2,2021,7,9,"36","2665343922","99",170,"Major",59,48,76,4,0,10,5
"El Merengue","Marshmello, Manuel Turizo",2,2023,3,3,"44","223633238","75",124,"Minor",78,70,68,3,1,11,4
"Someone You Loved","Lewis Capaldi",1,2018,11,8,"53","2887241814","125",110,"Major",50,45,41,75,0,11,3
"Me Porto Bonito","Chencho Corleone, Bad Bunny",2,2022,5,6,"43","1440757818","120",92,"Minor",91,43,71,9,0,9,8
"Makeba","Jain",1,2015,6,22,"53","165484133","148",116,"Major",82,40,66,39,51,25,7
"MONTAGEM - FR PUNK","Ayparia, unxbected",2,2012,6,20,"50","58054811","52",129,"Major",63,84,82,70,8,9,7
"Fast Car","Luke Combs",1,2023,3,24,"12","157058870","97",98,"Major",71,67,60,19,0,12,3
"What It Is (Solo Version)","Doechii",1,2023,3,17,"25","95131998","76",172,"Minor",74,76,76,6,0,10,9
"Coco Chanel","Bad Bunny, Eladio Carrion",2,2023,3,17,"38","250305248","89",150,"Major",68,14,76,4,0,10,4
"DonяПНяПНяПНt Bl","Taylor Swift",1,2017,11,8,"23","685032533","45",136,"Minor",62,19,53,11,0,6,4
"Still With You","Jung Kook",1,2020,6,5,"39","38411956","107",88,"Minor",53,34,47,9,0,83,4
"All My Life (feat. J. Cole)","J. Cole, Lil Durk",2,2023,5,12,"23","144565150","145",143,"Major",83,69,44,15,0,10,33
"Say Yes To Heaven","Lana Del Rey",1,2023,3,17,"46","127567540","105",100,"Minor",49,17,35,71,9,11,3
"Snooze","SZA",1,2022,12,9,"25","399686758","156",143,"Major",56,39,55,14,0,11,13
"Summertime Sadness","Lana Del Rey",1,2011,1,1,"52","983637508","143",112,"Minor",56,24,66,7,0,12,3
"Take Two","BTS",1,2023,6,9,"47","118482347","106",93,"Major",62,57,59,3,0,38,3
"Lover","Taylor Swift",1,2012,1,1,"23","882831184","110",206,"Major",43,50,55,50,0,15,10
"Too Many Nights (feat. Don Toliver & with Future)","Future, Metro Boomin, Don Toliver",3,2022,12,2,"58","286400165","119",88,"Minor",68,17,71,15,0,11,5
"Chemical","Post Malone",1,2023,4,14,"39","172825906","91",170,"Major",50,37,90,0,0,12,5
"Mockingbird","Eminem",1,2004,1,1,"61","1241559043","98",84,"Minor",62,24,67,21,0,13,28
"New Jeans","NewJeans",1,2023,7,7,"35","29562220","166",134,"Minor",81,53,72,51,0,12,5
"Primera Cita","Carin Leon",1,2022,4,20,"27","77309611","40",158,"Major",54,50,40,61,0,10,6
"Cold Heart - PNAU Remix","Dua Lipa, Elton John, Pnau",3,2017,11,10,"52","1605224506","135",116,"Major",80,92,80,4,0,10,3
"Dandelions","Ruth B.",1,2017,4,28,"21","1116995633","100",117,"Major",61,45,69,2,0,9,3
"Bones","Imagine Dragons",1,2021,3,11,"44","838079900","108",114,"Minor",77,65,72,2,0,7,5
"Set Fire to the Rain","Adele",1,2011,1,1,"43","1163620694","112",108,"Minor",61,47,68,0,0,13,3
"Money Trees","Kendrick Lamar, Jay Rock",2,2012,1,1,"32","1093605526","113",144,"Minor",74,37,53,7,0,21,10
"Tak Segampang Itu","Anggi Marito",1,2022,12,2,"6","179659294","6",130,"Major",51,18,44,76,0,11,3
"LAGUNAS","Jasiel NuяПНяПНez, Peso P",2,2023,6,22,"18","39058561","106",116,"Major",77,79,62,33,1,15,3
"Mine (Taylor's Version)","Taylor Swift",1,2023,7,7,"15","36912123","52",121,"Major",65,49,78,0,0,17,4
"Everybody Wants To Rule The World","Tears For Fears",1,1985,2,17,"25","1205951614","32",112,"Major",64,54,81,36,0,11,6
"No Role Modelz","J. Cole",1,2014,12,9,"36","1791000570","65",100,"Minor",70,47,52,30,0,6,33
"Tattoo","Loreen",1,2023,2,25,"59","201660859","102",150,"Minor",55,30,78,24,0,12,8
"Rara Vez","Taiu, Milo j",2,2023,2,8,"38","248088961","23",120,"Minor",84,96,71,18,0,34,17
"VAGABUNDO","Sebastian Yatra, Manuel Turizo, BeяПНяПН",3,2023,5,12,"34","90839753","58",127,"Minor",82,89,85,4,0,23,6
"august","Taylor Swift",1,2020,7,24,"22","607123776","81",90,"Major",51,42,61,53,0,9,3
"LUNA","Junior H, Peso Pluma",2,2023,6,22,"11","55842345","117",128,"Minor",75,79,63,33,0,15,4
"Miracle (with Ellie Goulding)","Calvin Harris, Ellie Goulding",2,2023,3,10,"48","211050784","115",143,"Major",64,31,87,4,4,8,4
"Nonsense","Sabrina Carpenter",1,2022,7,15,"27","342897938","12",139,"Major",74,68,68,3,0,26,4
